Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2021-03-09,101.25296020507812,102.42212772357182,101.01674600755987,101.71894467377746,33920000
2021-03-10,101.04603576660156,102.29708138284172,100.20935509208553,102.29708138284172,27100000
2021-03-11,104.23939514160156,104.77187091897011,102.05142854718905,102.13926584834769,27702000
2021-03-12,101.7313461303711,103.10149446258991,100.85893998678274,103.04194682941647,33818000
2021-03-15,101.95167541503906,101.97896555456512,100.62917132551493,101.48222292330844,26168000
2021-03-16,103.41314697265625,104.89147154660814,102.1923674371934,102.52485435636942,31900000
2021-03-17,103.33026885986328,104.16297408675445,101.43955571786044,102.64792444093051,26382000
2021-03-18,100.30908203125,102.66180389994636,100.2018902461758,101.64101341094641,31700000
2021-03-19,100.5879898071289,101.08820812478666,99.39549992944659,100.72545519221457,46072000
2021-03-22,100.77308654785156,101.64896832220467,99.94484136557821,100.62123402558689,33536000
2021-03-23,101.30110168457031,102.4315602691178,100.63960345971093,101.23261887288946,28510000
2021-03-24,100.8644027709961,102.6047475271792,100.6892203526668,101.81868694086641,25218000
2021-03-25,100.86092376708984,101.51497849194996,99.05605651294476,100.69170066123667,35616000
2021-03-26,100.47733306884766,101.20483044037542,99.44115570408202,100.82768277882265,27978000
2021-03-29,101.52242279052734,101.6921456617526,99.52055008099022,100.34978722521926,26492000
2021-03-30,101.5561752319336,102.3600985997057,101.04404587909158,101.87923478436586,27312000
2021-03-31,102.35265350341797,103.53075620217572,101.58247178886016,101.94969987021643,42570000
2021-04-01,105.6904296875,105.98669127491928,103.78731339954884,103.82800630103871,39880000
2021-04-05,110.11598205566406,110.6137241988251,106.45613518164741,106.55240788497983,48510000
2021-04-06,109.63462829589844,110.56460573116816,109.26393216477742,109.7170060552788,35240000
2021-04-07,111.1119613647461,111.38340889951039,109.8251828326057,109.8251828326057,24134000
2021-04-08,111.67768096923828,112.73767263549556,111.3094609831915,112.35109011210068,28664000
2021-04-09,112.6821060180664,112.84586958165409,111.02413150339015,111.43006856726271,26146000
2021-04-12,111.3893814086914,111.99827567762381,110.55567663945638,111.86081786456195,25024000
2021-04-13,111.87618255615234,112.32479639882128,111.31144932320024,111.70547531555604,25682000
2021-04-14,111.2548828125,112.52131494179199,110.96259662557597,112.52131494179199,21002000
2021-04-15,113.40563201904297,113.93910731506152,111.71441568076216,112.24937512425728,29174000
2021-04-16,113.28157806396484,113.85177090924829,112.69451439811739,113.60364566317921,26282000
